Species,English.x,SciName,Zimmer 1913,Ford 1957,Bray 1994,GBIF 2023,English.y,Bessey,MacKelvie,Pine Ridge
129,Philadelphia Vireo,Vireo philadelphicus,NA,NA,X,X,NA,1,NA,1
130,Warbling Vireo,Vireo gilvus,X,NA,X,X,NA,1,1,1
131,Yellow-throated Vireo,Vireo flavifrons,NA,NA,X,X,NA,1,NA,NA
132,Blue-headed Vireo,Vireo solitarius,NA,NA,X,NA,NA,1,1,1
133,Bell's Vireo,Vireo bellii,X,X,X,X,NA,1,1,1
133.5,Canada Jay,Perisoreus canadensis,NA,NA,Hypothetical,NA,NA,NA,NA,NA
134,Blue Jay,Cyanocitta cristata,X,NA,X,X,NA,1,1,1
135,Pinyon Jay,Gymnorhinus cyanocephalus,Hypothetical,NA,X,NA,NA,1,NA,1
136,Black-billed Magpie,Pica hudsonia,X,NA,X,X,NA,1,1,1
137,Clark's Nutcracker,Nucifraga columbiana,NA,NA,X,NA,NA,1,NA,1
138,American Crow,Corvus brachyrhynchos,X,NA,X,X,NA,1,1,1
138.5,Common Raven,Corvus corax,NA,NA,Hypothetical,NA,NA,NA,NA,NA
139,Bohemian Waxwing,Bombycilla garrulus,X,NA,X,NA,NA,1,NA,NA
140,Cedar Waxwing,Bombycilla cedrorum,NA,NA,X,X,NA,1,1,1
141,Black-capped Chickadee,Poecile atricapillus,X,NA,X,X,NA,1,1,1
142,Horned Lark,Eremophila alpestris,X,X,X,X,NA,1,1,1
143,Bank Swallow,Riparia riparia,X,NA,X,X,NA,1,1,1
144,Tree Swallow,Tachycineta bicolor,X,NA,X,X,NA,1,1,1
145,Northern Rough-winged Swallow,Stelgidopteryx serripennis,X,NA,X,X,NA,1,1,1
146,Barn Swallow,Hirundo rustica,X,NA,X,X,NA,1,1,1
147,Cliff Swallow,Petrochelidon pyrrhonota,X,NA,X,X,NA,1,1,1
148,Ruby-crowned Kinglet,Corthylio calendula,X,NA,X,X,NA,1,1,1
149,Golden-crowned Kinglet,Regulus satrapa,NA,NA,X,X,NA,1,NA,1
150,Rock Wren,Salpinctes obsoletus,X,NA,X,NA,NA,1,NA,1
151,Sedge Wren,Cistothorus stellaris,NA,NA,X,X,NA,1,1,NA
152,Marsh Wren,Cistothorus palustris,X,NA,X,X,NA,1,1,1
153,Winter Wren,Troglodytes hiemalis,NA,NA,X,NA,NA,1,NA,1
154,House Wren,Troglodytes aedon,X,NA,X,X,NA,1,1,1
155,Blue-gray Gnatcatcher,Polioptila caerulea,NA,NA,NA,X,NA,1,1,1
156,White-breasted Nuthatch,Sitta carolinensis,NA,NA,X,X,NA,1,1,1
157,Pygmy Nuthatch,Sitta pygmaea,NA,NA,NA,X,NA,1,1,1
158,Red-breasted Nuthatch,Sitta canadensis,NA,NA,X,X,NA,1,1,1
159,Brown Creeper,Certhia americana,NA,NA,X,X,NA,1,1,1
160,Gray Catbird,Dumetella carolinensis,X,NA,X,X,NA,1,1,1
161,Northern Mockingbird,Mimus polyglottos,Hypothetical,NA,X,NA,NA,1,1,1
162,Brown Thrasher,Toxostoma rufum,X,NA,X,X,NA,1,1,1
163,European Starling,Sturnus vulgaris,NA,NA,X,X,NA,1,1,1
164,Mountain Bluebird,Sialia currucoides,X,NA,X,X,NA,1,NA,1
165,Eastern Bluebird,Sialia sialis,X,NA,X,X,NA,1,1,1
166,Townsend's Solitaire,Myadestes townsendi,X,NA,X,X,NA,1,1,1
167,Wood Thrush,Hylocichla mustelina,X,NA,NA,X,NA,1,NA,NA
168,Swainson's Thrush,Catharus ustulatus,X,NA,X,X,NA,1,1,1
169,Hermit Thrush,Catharus guttatus,NA,NA,X,X,NA,1,NA,1
170,Gray-cheeked Thrush,Catharus minimus,NA,NA,X,NA,NA,1,NA,NA
171,Veery,Catharus fuscescens,X,NA,X,NA,NA,1,NA,1
172,American Robin,Turdus migratorius,X,X,X,X,NA,1,1,1
173,House Sparrow,Passer domesticus,NA,NA,X,X,NA,1,1,1
174,Buff-bellied Pipit,Anthus rubescens,NA,NA,X,X,NA,1,NA,1
175,Sprague's Pipit,Anthus spragueii,NA,NA,X,NA,NA,1,NA,1
176,Evening Grosbeak,Coccothraustes vespertinus,NA,NA,X,X,NA,1,NA,1
177,Pine Grosbeak,Pinicola enucleator,NA,NA,X,NA,NA,1,NA,NA
178,Purple Finch,Haemorhous purpureus,NA,NA,X,X,NA,1,NA,1
179,Cassin's Finch,Haemorhous cassinii,NA,NA,X,NA,NA,1,NA,1
180,House Finch,Haemorhous mexicanus,NA,NA,X,X,NA,1,1,1
181,Common Redpoll,Acanthis flammea,NA,NA,X,NA,NA,1,NA,1
182,Red Crossbill,Loxia curvirostra,NA,NA,X,X,NA,1,1,1
183,White-winged Crossbill,Loxia leucoptera,NA,NA,X,NA,NA,1,NA,NA
184,American Goldfinch,Spinus tristis,X,X,X,X,NA,1,1,1
185,Pine Siskin,Spinus pinus,X,NA,X,X,NA,1,1,1
186,Lapland Longspur,Calcarius lapponicus,NA,NA,X,X,NA,1,NA,1
187,Grasshopper Sparrow,Ammodramus savannarum,X,X,X,X,NA,1,1,1
188,Lark Sparrow,Chondestes grammacus,X,X,X,X,NA,1,1,1
189,Lark Bunting,Calamospiza melanocorys,X,NA,X,X,NA,1,1,1
190,Chipping Sparrow,Spizella passerina,X,NA,X,X,NA,1,1,1
191,Clay-colored Sparrow,Spizella pallida,X,NA,X,X,NA,1,1,1
192,Field Sparrow,Spizella pusilla,X,X,X,X,NA,1,1,1
193,Fox Sparrow,Passerella iliaca,NA,NA,X,NA,NA,1,NA,1
194,American Tree Sparrow,Spizelloides arborea,X,NA,X,X,NA,1,1,1
195,White-winged Junco,Junco aikeni,X,NA,X,NA,NA,NA,NA,NA
195.1,Slate-colored Junco,Junco hyemalis,NA,NA,X,X,NA,1,1,1
195.2,Cassiar Junco,Junco cismontanus,NA,NA,NA,X,NA,NA,NA,NA
195.3,Oregon Junco,Junco oreganus,X,NA,X,X,NA,NA,NA,NA
195.4,Pink-sided Junco,Junco mearnsi,NA,NA,X,X,NA,NA,NA,NA
196,White-crowned Sparrow,Zonotrichia leucophrys,X,NA,X,X,NA,1,1,1
197,Golden-crowned Sparrow,Zonotrichia atricapilla,NA,NA,X,NA,NA,1,NA,NA
198,Harris's Sparrow,Zonotrichia querula,X,NA,X,X,NA,1,1,1
199,White-throated Sparrow,Zonotrichia albicollis,NA,NA,X,X,NA,1,1,1
200,Vesper Sparrow,Pooecetes gramineus,X,NA,X,X,NA,1,1,1
201,LeConte's Sparrow,Ammospiza leconteii,NA,NA,X,NA,NA,NA,NA,NA
201.5,Henslow's Sparrow,Centronyx henslowii,NA,NA,Hypothetical,NA,NA,NA,NA,NA
202,Savannah Sparrow,Passerculus sandwichensis,NA,NA,X,X,NA,1,1,1
203,Song Sparrow,Melospiza melodia,X,NA,X,X,NA,1,1,1
204,Lincoln's Sparrow,Melospiza lincolnii,X,NA,X,X,NA,1,1,1
205,Swamp Sparrow,Melospiza georgiana,NA,NA,X,X,NA,1,1,1
206,Spotted Towhee,Pipilo maculatus,X,X,X,X,NA,1,1,1
206.5,Spotted x Eastern Towhee,Pipilo maculatus x erythrophthalmus,NA,NA,NA,X,NA,NA,NA,NA
207,Eastern Towhee,Pipilo erythrophthalmus,NA,NA,NA,X,NA,1,NA,NA
208,Yellow-breasted Chat,Icteria virens,X,X,X,X,NA,1,1,1
209,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,X,NA,X,X,NA,1,1,1
210,Bobolink,Dolichonyx oryzivorus,NA,NA,X,X,NA,1,1,1
211,Western Meadowlark,Sturnella neglecta,X,NA,X,X,NA,1,1,1
212,Eastern Meadowlark,Sturnella magna,X,NA,X,X,NA,1,1,1
213,Bullock's Oriole,Icterus bullockii,NA,NA,X,NA,NA,1,NA,1
213.5,Bullock's x Baltimore Oriole,Icterus bullockii x galbula,NA,NA,X,X,NA,NA,NA,NA
214,Baltimore Oriole,Icterus galbula,X,NA,X,X,NA,1,1,1
