Species,SciName,Bray,Notes
Indigo Bunting,Passerina cyanea,Confirmed,
Dickcissel,Spiza americana,Confirmed,
Spotted Towhee,Pipilo maculatus,Confirmed,Benefits from forest but not a recent colonist
American Tree Sparrow,Spizelloides arborea,Confirmed,
Chipping Sparrow,Spizella passerina,Confirmed,
Clay-colored Sparrow,Spizella pallida,Confirmed,
Field Sparrow,Spizella pusilla,Confirmed,
Vesper Sparrow,Pooecetes gramineus,Confirmed,
Lark Sparrow,Chondestes grammacus,Confirmed,Benefits from forest but not a recent colonist
Lark Bunting,Calamospiza melanocorys,Confirmed,
Savannah Sparrow,Passerculus sandwichensis,Confirmed,
Grasshopper Sparrow,Ammodramus savannarum,Confirmed,
Henslow’s Sparrow,Centronyx henslowii,Hypothetical,
LeConte’s Sparrow,Ammospiza leconteii,Confirmed,
Fox Sparrow,Passerella iliaca,Confirmed,
Song Sparrow,Melospiza melodia,Confirmed,
Lincoln’s Sparrow,Melospiza lincolnii,Confirmed,
Swamp Sparrow,Melospiza georgiana,Confirmed,
White-throated Sparrow,Zonotrichia albicollis,Confirmed,
White-crowned Sparrow,Zonotrichia leucophrys,Confirmed,
Golden-crowned Sparrow,Zonotrichia atricapilla,Confirmed,
Harris’ Sparrow,Zonotrichia querula,Confirmed,
Slate-colored Junco,Junco hyemalis,Confirmed,
Pink-sided Junco,Junco mearnsi,Confirmed,
Oregon Junco,Junco oreganus,Confirmed,
White-winged Junco,Junco aikeni,Confirmed,"Per Bray, does not breed"
Lapland Longspur,Calcarius lapponicus,Confirmed,
Bobolink,Dolichonyx oryzivorus,Confirmed,
Red-winged Blackbird,Agelaius phoeniceus,Confirmed,
Eastern Meadowlark,Sturnella magna,Confirmed,
Western Meadowlark,Sturnella neglecta,Confirmed,
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Confirmed,
Rusty Blackbird,Euphagus carolinus,Confirmed,
Brewer’s Blackbird,Euphagus cyanocephalus,Confirmed,
Common Grackle,Quiscalus quiscula,Confirmed,
Brown-headed Cowbird,Molothrus ater,Confirmed,
Orchard Oriole,Icterus spurius,Confirmed,
Baltimore Oriole,Icterus galbula,Confirmed,Hybrids
Bullock’s Oriole,Icterus bullockii,Confirmed,Hybrids
BUOR x BAOR,Icterus bullockii x galbula,Confirmed,
Pine Grosbeak,Pinicola enucleator,Confirmed,
Purple Finch,Haemorhous purpureus,Confirmed,
Cassin’s Finch,Haemorhous cassinii,Confirmed,
House Finch,Haemorhous mexicanus,Confirmed,
Red Crossbill,Loxia curvirostra,Confirmed,
White-winged Crossbill,Loxia leucoptera,Confirmed,
Common Redpoll,Acanthis flammea,Confirmed,
Pine Siskin,Spinus pinus,Confirmed,
American Goldfinch,Spinus tristis,Confirmed,
Evening Grosbeak,Coccothraustes vespertinus,Confirmed,
House Sparrow,Passer domesticus,Confirmed,
