Species,English,SciName,Zimmer 1913,Ford 1957,Bray 1994,GBIF 2023
119,Willow Flycatcher,Empidonax traillii,X,,X,X
120,Alder Flycatcher,Empidonax alnorum,,,X,X
121,Least Flycatcher,Empidonax minimus,,,X,X
122,Western Kingbird,Tyrannus verticalis,X,,X,X
123,Scissor-tailed Flycatcher,Tyrannus forficatus,,X,X,
124,Eastern Kingbird,Tyrannus tyrannus,X,X,X,X
125,Great Crested Flycatcher,Myiarchus crinitus,,,X,X
126,Loggerhead Shrike,Lanius ludovicianus,X,,X,X
127,Northern Shrike,Lanius borealis,X,,X,X
128,Red-eyed Vireo,Vireo olivaceus,X,X,X,X
129,Philadelphia Vireo,Vireo philadelphicus,,,X,X
130,Warbling Vireo,Vireo gilvus,X,,X,X
131,Yellow-throated Vireo,Vireo flavifrons,,,X,X
132,Blue-headed Vireo,Vireo solitarius,,,X,
133,Bell's Vireo,Vireo bellii,X,X,X,X
133.5,Canada Jay,Perisoreus canadensis,,,Hypothetical,
134,Blue Jay,Cyanocitta cristata,X,,X,X
135,Pinyon Jay,Gymnorhinus cyanocephalus,Hypothetical,,X,
136,Black-billed Magpie,Pica hudsonia,X,,X,X
137,Clark's Nutcracker,Nucifraga columbiana,,,X,
138,American Crow,Corvus brachyrhynchos,X,,X,X
138.5,Common Raven,Corvus corax,,,Hypothetical,
139,Bohemian Waxwing,Bombycilla garrulus,X,,X,
140,Cedar Waxwing,Bombycilla cedrorum,,,X,X
141,Black-capped Chickadee,Poecile atricapillus,X,,X,X
142,Horned Lark,Eremophila alpestris,X,X,X,X
143,Bank Swallow,Riparia riparia,X,,X,X
144,Tree Swallow,Tachycineta bicolor,X,,X,X
145,Northern Rough-winged Swallow,Stelgidopteryx serripennis,X,,X,X
146,Barn Swallow,Hirundo rustica,X,,X,X
147,Cliff Swallow,Petrochelidon pyrrhonota,X,,X,X
148,Ruby-crowned Kinglet,Corthylio calendula,X,,X,X
149,Golden-crowned Kinglet,Regulus satrapa,,,X,X
150,Rock Wren,Salpinctes obsoletus,X,,X,
151,Sedge Wren,Cistothorus stellaris,,,X,X
152,Marsh Wren,Cistothorus palustris,X,,X,X
153,Winter Wren,Troglodytes hiemalis,,,X,
154,House Wren,Troglodytes aedon,X,,X,X
155,Blue-gray Gnatcatcher,Polioptila caerulea,,,,X
156,White-breasted Nuthatch,Sitta carolinensis,,,X,X
157,Pygmy Nuthatch,Sitta pygmaea,,,,X
158,Red-breasted Nuthatch,Sitta canadensis,,,X,X
159,Brown Creeper,Certhia americana,,,X,X
160,Gray Catbird,Dumetella carolinensis,X,,X,X
161,Northern Mockingbird,Mimus polyglottos,Hypothetical,,X,
162,Brown Thrasher,Toxostoma rufum,X,,X,X
163,European Starling,Sturnus vulgaris,,,X,X
164,Mountain Bluebird,Sialia currucoides,X,,X,X
165,Eastern Bluebird,Sialia sialis,X,,X,X
166,Townsend's Solitaire,Myadestes townsendi,X,,X,X
167,Wood Thrush,Hylocichla mustelina,X,,,X
168,Swainson's Thrush,Catharus ustulatus,X,,X,X
169,Hermit Thrush,Catharus guttatus,,,X,X
170,Gray-cheeked Thrush,Catharus minimus,,,X,
171,Veery,Catharus fuscescens,X,,X,
172,American Robin,Turdus migratorius,X,X,X,X
173,House Sparrow,Passer domesticus,,,X,X
174,Buff-bellied Pipit,Anthus rubescens,,,X,X
175,Sprague's Pipit,Anthus spragueii,,,X,
176,Evening Grosbeak,Coccothraustes vespertinus,,,X,X
177,Pine Grosbeak,Pinicola enucleator,,,X,
178,Purple Finch,Haemorhous purpureus,,,X,X
179,Cassin's Finch,Haemorhous cassinii,,,X,
180,House Finch,Haemorhous mexicanus,,,X,X
181,Common Redpoll,Acanthis flammea,,,X,
182,Red Crossbill,Loxia curvirostra,,,X,X
183,White-winged Crossbill,Loxia leucoptera,,,X,
184,American Goldfinch,Spinus tristis,X,X,X,X
185,Pine Siskin,Spinus pinus,X,,X,X
186,Lapland Longspur,Calcarius lapponicus,,,X,X
187,Grasshopper Sparrow,Ammodramus savannarum,X,X,X,X
188,Lark Sparrow,Chondestes grammacus,X,X,X,X
189,Lark Bunting,Calamospiza melanocorys,X,,X,X
190,Chipping Sparrow,Spizella passerina,X,,X,X
191,Clay-colored Sparrow,Spizella pallida,X,,X,X
192,Field Sparrow,Spizella pusilla,X,X,X,X
193,Fox Sparrow,Passerella iliaca,,,X,
194,American Tree Sparrow,Spizelloides arborea,X,,X,X
195,White-winged Junco,Junco aikeni,X,,X,
195.1,Slate-colored Junco,Junco hyemalis,,,X,X
195.2,Cassiar Junco,Junco cismontanus,,,,X
195.3,Oregon Junco,Junco oreganus,X,,X,X
195.4,Pink-sided Junco,Junco mearnsi,,,X,X
196,White-crowned Sparrow,Zonotrichia leucophrys,X,,X,X
197,Golden-crowned Sparrow,Zonotrichia atricapilla,,,X,
198,Harris's Sparrow,Zonotrichia querula,X,,X,X
199,White-throated Sparrow,Zonotrichia albicollis,,,X,X
200,Vesper Sparrow,Pooecetes gramineus,X,,X,X
201,LeConte's Sparrow,Ammospiza leconteii,,,X,
201.5,Henslow's Sparrow,Centronyx henslowii,,,Hypothetical,
202,Savannah Sparrow,Passerculus sandwichensis,,,X,X
203,Song Sparrow,Melospiza melodia,X,,X,X
204,Lincoln's Sparrow,Melospiza lincolnii,X,,X,X
205,Swamp Sparrow,Melospiza georgiana,,,X,X
206,Spotted Towhee,Pipilo maculatus,X,X,X,X
206.5,Spotted x Eastern Towhee,Pipilo maculatus x erythrophthalmus,,,,X
207,Eastern Towhee,Pipilo erythrophthalmus,,,,X
208,Yellow-breasted Chat,Icteria virens,X,X,X,X
209,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,X,,X,X
