species,individualCount,decimalLongitude,decimalLatitude,eventDate,district
Spatula discors,1,-103.4976482,42.9198521,2014-06-20,Pine Ridge / Oglala
Spatula discors,X,-103.427994,42.880411,2015-04-24,Pine Ridge / Oglala
Spatula discors,3,-100.9054473,42.6448535,2015-05-22,McKelvie
Spatula discors,1,-100.3056451,41.9020192,2015-05-21,Bessey
Spatula discors,6,-100.9791183,42.6738149,2015-06-19,McKelvie
Spatula discors,2,-100.9000824,42.6455271,2015-06-13,McKelvie
Spatula discors,3,-103.58951,42.94285,2015-06-21,Pine Ridge / Oglala
Spatula discors,5,-103.0042076,42.7448691,2015-08-24,Pine Ridge / Oglala
Spatula discors,4,-103.2202864,42.6258756,2015-09-06,Pine Ridge / Oglala
Spatula discors,21,-103.0042076,42.7448691,2015-09-23,Pine Ridge / Oglala
Spatula discors,45,-100.2983522,41.8992266,2015-09-22,Bessey
Spatula discors,2,-103.581895,42.949679,2016-03-27,Pine Ridge / Oglala
Spatula discors,22,-100.977879,42.663311,2016-04-14,McKelvie
Spatula discors,2,-103.6433029,42.9919039,2016-04-25,Pine Ridge / Oglala
Spatula discors,4,-100.2983522,41.8992266,2016-04-13,Bessey
Spatula discors,24,-100.920029,42.645409,2016-05-18,McKelvie
Spatula discors,3,-103.4270203,42.8814204,2016-05-23,Pine Ridge / Oglala
Spatula discors,4,-103.4593506,42.9191085,2016-05-23,Pine Ridge / Oglala
Spatula discors,2,-103.5736942,42.9003129,2016-05-23,Pine Ridge / Oglala
Spatula discors,1,-103.5777789,42.8814855,2016-05-24,Pine Ridge / Oglala
Spatula discors,3,-100.2983522,41.8992266,2016-05-10,Bessey
Spatula discors,1,-101.0355949,42.6756206,2016-06-14,McKelvie
Spatula discors,8,-100.2983522,41.8992266,2017-04-07,Bessey
Spatula discors,5,-101.0644984,42.6849371,2017-05-24,McKelvie
Spatula discors,12,-103.4471798,42.908663,2017-05-26,Pine Ridge / Oglala
Spatula discors,2,-103.5736942,42.9003129,2017-05-16,Pine Ridge / Oglala
Spatula discors,5,-103.5716912,42.6984793,2017-09-03,Pine Ridge / Oglala
Spatula discors,6,-100.960424,42.658969,2018-05-15,McKelvie
Spatula discors,1,-100.9498903,42.6978972,2018-05-18,McKelvie
Spatula discors,8,-103.4429312,42.9028791,2018-05-20,Pine Ridge / Oglala
Spatula discors,4,-103.0162239,42.7071641,2018-05-19,Pine Ridge / Oglala
Spatula discors,2,-103.0162239,42.7071641,2018-05-19,Pine Ridge / Oglala
Spatula discors,4,-103.4429312,42.9028791,2018-05-19,Pine Ridge / Oglala
Spatula discors,4,-103.5736942,42.9003129,2018-05-15,Pine Ridge / Oglala
Spatula discors,5,-103.5923624,42.9594691,2018-05-17,Pine Ridge / Oglala
Spatula discors,1,-103.5101366,42.9595633,2018-05-19,Pine Ridge / Oglala
Spatula discors,X,-103.5923624,42.9594691,2018-05-17,Pine Ridge / Oglala
Spatula discors,1,-103.5976839,42.9907739,2018-05-19,Pine Ridge / Oglala
Spatula discors,X,-100.511384,41.9710414,2018-05-31,Bessey
Spatula discors,2,-100.3807068,41.8572879,2018-05-02,Bessey
Spatula discors,1,-103.494644,42.814349,2018-06-22,Pine Ridge / Oglala
Spatula discors,2,-103.4764656,42.9266288,2019-04-21,Pine Ridge / Oglala
Spatula discors,4,-103.4984207,42.9109261,2019-04-20,Pine Ridge / Oglala
Spatula discors,2,-103.6215676,42.9740362,2019-05-17,Pine Ridge / Oglala
Spatula discors,2,-103.5857995,42.9858129,2019-05-12,Pine Ridge / Oglala
Spatula discors,2,-101.133042,42.701631,2019-06-12,McKelvie
Spatula discors,1,-100.960424,42.658969,2019-06-11,McKelvie
Spatula discors,1,-103.2616997,42.6414094,2019-06-18,Pine Ridge / Oglala
Spatula discors,2,-103.872529,42.941468,2019-06-14,Pine Ridge / Oglala
Spatula discors,8,-103.874857,42.963799,2019-06-19,Pine Ridge / Oglala
Spatula discors,4,-103.875442,42.921708,2019-06-14,Pine Ridge / Oglala
Spatula discors,16,-100.917573,42.649267,2019-07-10,McKelvie
Spatula discors,2,-103.5455418,42.8627539,2019-08-24,Pine Ridge / Oglala
Spatula discors,2,-103.4984207,42.9109261,2019-09-03,Pine Ridge / Oglala
Spatula discors,6,-100.2983522,41.8992266,2020-04-25,Bessey
Spatula discors,3,-100.977701,42.663656,2020-05-30,McKelvie
Spatula discors,6,-101.10431,42.70485,2020-05-18,McKelvie
Spatula discors,25,-101.020262,42.666866,2020-05-31,McKelvie
Spatula discors,1,-101.129145,42.706155,2020-05-18,McKelvie
Spatula discors,13,-101.12257,42.70672,2020-05-19,McKelvie
Spatula discors,2,-103.400084,42.803674,2020-05-15,Pine Ridge / Oglala
Spatula discors,2,-100.3807068,41.8572879,2020-05-20,Bessey
Spatula discors,4,-103.6126492,42.9689154,2020-06-10,Pine Ridge / Oglala
Spatula discors,18,-103.5830882,42.95048,2020-06-21,Pine Ridge / Oglala
Spatula discors,1,-103.8752464,42.9232916,2020-06-09,Pine Ridge / Oglala
Spatula discors,11,-103.404161,42.791732,2020-07-03,Pine Ridge / Oglala
Spatula discors,1,-103.250118,42.630101,2020-09-20,Pine Ridge / Oglala
Spatula discors,X,-101.0644984,42.6849371,2021-04-25,McKelvie
Spatula discors,2,-103.3995438,42.8031154,2021-04-08,Pine Ridge / Oglala
Spatula discors,6,-103.0042076,42.7448691,2021-05-15,Pine Ridge / Oglala
